attendance_id,attendance_date,student_id,attendance_status
149,2025-01-07,76,Present
150,2025-01-07,230,Present
151,2025-01-07,177,Present
152,2025-01-07,97,Present
153,2025-01-07,153,Present
154,2025-01-07,3,Present
155,2025-01-07,27,Present
156,2025-01-07,172,Present
157,2025-01-07,29,Present
158,2025-01-07,189,Present
159,2025-01-07,213,Present
160,2025-01-07,225,Present
161,2025-01-07,155,Present
162,2025-01-07,101,Present
163,2025-01-07,70,Present
164,2025-01-07,68,Present
165,2025-01-07,112,Present
166,2025-01-07,226,Present
167,2025-01-07,181,Present
168,2025-01-07,212,Present
169,2025-01-07,90,Present
170,2025-01-07,162,Present
171,2025-01-07,120,Absent
172,2025-01-07,141,Absent
173,2025-01-07,98,Present
174,2025-01-07,123,Present
175,2025-01-07,229,Present
176,2025-01-07,75,Present
177,2025-01-07,145,Present
178,2025-01-07,217,Present
179,2025-01-07,183,Present
180,2025-01-07,14,Present
181,2025-01-07,73,Present
182,2025-01-07,128,Present
183,2025-01-07,131,Present
184,2025-01-07,144,Present
185,2025-01-07,146,Present
186,2025-01-07,170,Present
187,2025-01-07,114,Present
188,2025-01-07,54,Present
189,2025-01-07,139,Present
190,2025-01-07,34,Present
191,2025-01-07,48,Present
192,2025-01-07,161,Present
193,2025-01-07,38,Absent
194,2025-01-07,198,Present
195,2025-01-07,39,Present
196,2025-01-07,17,Present
197,2025-01-07,133,Present
198,2025-01-07,169,Present
199,2025-01-07,150,Present
200,2025-01-07,35,Present
201,2025-01-07,22,Present
202,2025-01-07,125,Present
203,2025-01-07,136,Present
204,2025-01-07,110,Present
205,2025-01-07,99,Absent
206,2025-01-07,108,Present
207,2025-01-07,140,Late
208,2025-01-07,43,Present
209,2025-01-07,53,Present
210,2025-01-07,95,Late
211,2025-01-07,219,Present
212,2025-01-07,67,Present
213,2025-01-07,205,Present
214,2025-01-07,60,Present
215,2025-01-07,195,Late
216,2025-01-07,159,Present
217,2025-01-07,92,Present
218,2025-01-07,130,Present
219,2025-01-07,216,Present
220,2025-01-07,45,Present
221,2025-01-07,171,Present
222,2025-01-07,86,Present
223,2025-01-07,111,Late
224,2025-01-07,57,Present
225,2025-01-07,6,Absent
226,2025-01-07,21,Present
227,2025-01-07,135,Present
228,2025-01-07,196,Present
229,2025-01-07,204,Present
230,2025-01-07,116,Present
231,2025-01-07,72,Present
232,2025-01-07,74,Present
233,2025-01-07,31,Present
234,2025-01-07,113,Present
235,2025-01-07,49,Late
236,2025-01-07,61,Present
237,2025-01-07,200,Present
238,2025-01-07,93,Present
239,2025-01-07,8,Late
240,2025-01-07,104,Present
241,2025-01-07,201,Present
242,2025-01-07,154,Absent
243,2025-01-07,80,Present
244,2025-01-07,192,Present
245,2025-01-07,126,Present
246,2025-01-07,10,Present
247,2025-01-07,118,Present
248,2025-01-07,91,Present
249,2025-01-07,160,Present
250,2025-01-07,149,Present
251,2025-01-07,36,Present
252,2025-01-07,4,Present
253,2025-01-07,47,Present
254,2025-01-07,58,Present
255,2025-01-07,89,Present
256,2025-01-07,188,Present
257,2025-01-07,215,Present
258,2025-01-07,63,Present
259,2025-01-07,103,Present
260,2025-01-07,186,Present
261,2025-01-07,51,Present
262,2025-01-07,222,Absent
263,2025-01-07,56,Present
264,2025-01-07,173,Present
265,2025-01-07,69,Late
266,2025-01-07,19,Present
267,2025-01-07,62,Absent
268,2025-01-07,25,Present
269,2025-01-07,18,Present
270,2025-01-07,223,Present
271,2025-01-07,152,Present
272,2025-01-07,88,Absent
273,2025-01-07,11,Present
274,2025-01-07,121,Present
275,2025-01-07,124,Present
276,2025-01-07,179,Present
277,2025-01-07,15,Present
278,2025-01-07,20,Present
279,2025-01-07,55,Present
280,2025-01-07,167,Present
281,2025-01-07,138,Present
282,2025-01-07,26,Present
283,2025-01-07,185,Present
284,2025-01-07,151,Present
285,2025-01-07,211,Present
286,2025-01-07,85,Present
287,2025-01-07,37,Present
288,2025-01-07,182,Present
289,2025-01-07,40,Present
290,2025-01-07,165,Present
291,2025-01-07,191,Present
292,2025-01-07,209,Absent
293,2025-01-07,142,Present
294,2025-01-07,228,Present
295,2025-01-07,115,Present
296,2025-01-07,178,Present
297,2025-01-08,77,Present
298,2025-01-08,79,Present
299,2025-01-08,223,Absent
300,2025-01-08,185,Present
301,2025-01-08,75,Present
302,2025-01-08,101,Late
303,2025-01-08,148,Absent
304,2025-01-08,138,Present
305,2025-01-08,211,Present
306,2025-01-08,136,Present
307,2025-01-08,197,Present
308,2025-01-08,166,Present
309,2025-01-08,161,Present
310,2025-01-08,172,Present
311,2025-01-08,221,Late
312,2025-01-08,2,Present
313,2025-01-08,34,Present
314,2025-01-08,225,Present
315,2025-01-08,1,Present
316,2025-01-08,119,Present
317,2025-01-08,50,Present
318,2025-01-08,186,Present
319,2025-01-08,28,Present
320,2025-01-08,169,Present
321,2025-01-08,212,Present
322,2025-01-08,115,Present
323,2025-01-08,205,Present
324,2025-01-08,177,Late
325,2025-01-08,192,Present
326,2025-01-08,52,Present
327,2025-01-08,198,Present
328,2025-01-08,31,Present
329,2025-01-08,201,Present
330,2025-01-08,30,Present
331,2025-01-08,230,Present
332,2025-01-08,78,Absent
333,2025-01-08,4,Present
334,2025-01-08,61,Present
335,2025-01-08,89,Present
336,2025-01-08,224,Present
337,2025-01-08,48,Absent
338,2025-01-08,5,Present
339,2025-01-08,153,Present
340,2025-01-08,128,Present
341,2025-01-08,160,Present
342,2025-01-08,21,Absent
343,2025-01-08,216,Present
344,2025-01-08,131,Present
345,2025-01-08,108,Present
346,2025-01-08,58,Present
347,2025-01-08,199,Present
348,2025-01-08,95,Present
349,2025-01-08,92,Present
350,2025-01-08,15,Present
351,2025-01-08,67,Present
352,2025-01-08,37,Present
353,2025-01-08,116,Present
354,2025-01-08,167,Present
355,2025-01-08,12,Present
356,2025-01-08,174,Present
357,2025-01-08,213,Present
358,2025-01-08,130,Present
359,2025-01-08,91,Present
360,2025-01-08,162,Present
361,2025-01-08,220,Present
362,2025-01-08,103,Present
363,2025-01-08,210,Present
364,2025-01-08,112,Present
365,2025-01-08,66,Present
366,2025-01-08,219,Present
367,2025-01-08,150,Present
368,2025-01-08,170,Present
369,2025-01-08,152,Present
370,2025-01-08,36,Absent
371,2025-01-08,42,Late
372,2025-01-08,57,Present
373,2025-01-08,88,Absent
374,2025-01-08,27,Present
375,2025-01-08,53,Present
376,2025-01-08,123,Present
377,2025-01-08,41,Present
378,2025-01-08,10,Late
379,2025-01-08,151,Late
380,2025-01-08,72,Absent
381,2025-01-08,80,Present
382,2025-01-08,215,Present
383,2025-01-08,40,Present
384,2025-01-08,86,Present
385,2025-01-08,144,Present
386,2025-01-08,49,Present
387,2025-01-08,39,Present
388,2025-01-08,127,Present
389,2025-01-08,111,Present
390,2025-01-08,51,Present
391,2025-01-08,68,Present
392,2025-01-08,171,Present
393,2025-01-08,182,Present
394,2025-01-08,47,Present
395,2025-01-08,204,Present
396,2025-01-08,102,Present
397,2025-01-08,140,Present
398,2025-01-08,84,Present
399,2025-01-08,105,Present
400,2025-01-08,155,Present
401,2025-01-08,14,Present
402,2025-01-08,87,Absent
403,2025-01-08,114,Late
404,2025-01-08,149,Present
405,2025-01-08,191,Present
406,2025-01-08,6,Present
407,2025-01-08,173,Absent
408,2025-01-08,7,Present
409,2025-01-08,29,Absent
410,2025-01-08,217,Present
411,2025-01-08,100,Present
412,2025-01-08,208,Present
413,2025-01-08,176,Present
414,2025-01-08,226,Present
415,2025-01-08,164,Present
416,2025-01-08,135,Present
417,2025-01-08,65,Present
418,2025-01-08,137,Late
419,2025-01-08,90,Present
420,2025-01-08,129,Present
421,2025-01-08,20,Present
422,2025-01-08,188,Present
423,2025-01-08,222,Present
424,2025-01-08,196,Present
425,2025-01-08,24,Present
426,2025-01-08,146,Absent
427,2025-01-08,8,Absent
428,2025-01-08,85,Present
429,2025-01-08,110,Present
430,2025-01-08,195,Present
431,2025-01-08,54,Present
432,2025-01-08,141,Present
433,2025-01-08,63,Present
434,2025-01-08,46,Present
435,2025-01-08,183,Present
436,2025-01-08,45,Present
437,2025-01-08,181,Present
438,2025-01-08,189,Absent
439,2025-01-08,139,Late
440,2025-01-08,142,Present
441,2025-01-08,43,Present
442,2025-01-08,3,Present
443,2025-01-08,156,Present
444,2025-01-08,74,Present
445,2025-01-09,92,Present
446,2025-01-09,47,Present
447,2025-01-09,177,Present
448,2025-01-09,28,Present
449,2025-01-09,52,Present
450,2025-01-09,211,Present
451,2025-01-09,110,Present
452,2025-01-09,103,Absent
453,2025-01-09,130,Late
454,2025-01-09,45,Present
455,2025-01-09,219,Absent
456,2025-01-09,124,Present
457,2025-01-09,222,Present
458,2025-01-09,128,Present
459,2025-01-09,141,Present
460,2025-01-09,38,Present
461,2025-01-09,37,Present
462,2025-01-09,159,Present
463,2025-01-09,83,Present
464,2025-01-09,209,Present
465,2025-01-09,179,Present
466,2025-01-09,21,Present
467,2025-01-09,229,Present
468,2025-01-09,34,Present
469,2025-01-09,85,Present
470,2025-01-09,25,Present
471,2025-01-09,210,Present
472,2025-01-09,172,Present
473,2025-01-09,39,Present
474,2025-01-09,191,Present
475,2025-01-09,31,Present
476,2025-01-09,78,Present
477,2025-01-09,46,Present
478,2025-01-09,17,Present
479,2025-01-09,60,Present
480,2025-01-09,196,Present
481,2025-01-09,148,Present
482,2025-01-09,142,Present
483,2025-01-09,26,Present
484,2025-01-09,35,Present
485,2025-01-09,55,Present
486,2025-01-09,123,Present
487,2025-01-09,30,Present
488,2025-01-09,183,Present
489,2025-01-09,164,Present
490,2025-01-09,63,Present
491,2025-01-09,62,Present
492,2025-01-09,19,Present
493,2025-01-09,7,Present
494,2025-01-09,205,Absent
495,2025-01-09,155,Present
496,2025-01-09,89,Present
497,2025-01-09,200,Present
498,2025-01-09,112,Present
499,2025-01-09,171,Present
500,2025-01-09,70,Present
501,2025-01-09,185,Late
502,2025-01-09,135,Present
503,2025-01-09,121,Present
504,2025-01-09,186,Present
505,2025-01-09,4,Present
506,2025-01-09,65,Present
507,2025-01-09,11,Present
508,2025-01-09,106,Late
509,2025-01-09,97,Present
510,2025-01-09,77,Present
511,2025-01-09,102,Present
512,2025-01-09,79,Present
513,2025-01-09,3,Present
514,2025-01-09,198,Present
515,2025-01-09,203,Present
516,2025-01-09,87,Present
517,2025-01-09,116,Present
518,2025-01-09,10,Present
519,2025-01-09,90,Present
520,2025-01-09,181,Absent
521,2025-01-09,115,Absent
522,2025-01-09,157,Present
523,2025-01-09,51,Present
524,2025-01-09,154,Present
525,2025-01-09,43,Present
526,2025-01-09,161,Present
527,2025-01-09,223,Present
528,2025-01-09,42,Present
529,2025-01-09,204,Present
530,2025-01-09,228,Present
531,2025-01-09,53,Present
532,2025-01-09,1,Present
533,2025-01-09,50,Absent
534,2025-01-09,8,Present
535,2025-01-09,93,Present
536,2025-01-09,224,Present
537,2025-01-09,176,Present
538,2025-01-09,101,Present
539,2025-01-09,80,Present
540,2025-01-09,174,Present
541,2025-01-09,220,Present
542,2025-01-09,36,Present
543,2025-01-09,126,Late
544,2025-01-09,12,Present
545,2025-01-09,208,Present
546,2025-01-09,197,Present
547,2025-01-09,119,Present
548,2025-01-09,56,Present
549,2025-01-09,217,Present
550,2025-01-09,165,Present
551,2025-01-09,151,Absent
552,2025-01-09,76,Present
553,2025-01-09,49,Present
554,2025-01-09,189,Present
555,2025-01-09,14,Present
556,2025-01-09,91,Present
557,2025-01-09,88,Present
558,2025-01-09,108,Absent
559,2025-01-09,156,Present
560,2025-01-09,182,Present
561,2025-01-09,96,Absent
562,2025-01-09,140,Present
563,2025-01-09,67,Present
564,2025-01-09,20,Present
565,2025-01-09,111,Present
566,2025-01-09,98,Present
567,2025-01-09,95,Present
568,2025-01-09,99,Present
569,2025-01-09,152,Present
570,2025-01-09,201,Present
571,2025-01-09,40,Present
572,2025-01-09,137,Present
573,2025-01-09,100,Present
574,2025-01-09,167,Present
575,2025-01-09,118,Absent
576,2025-01-09,206,Present
577,2025-01-09,74,Present
578,2025-01-09,216,Present
579,2025-01-09,18,Present
580,2025-01-09,129,Present
581,2025-01-09,199,Absent
582,2025-01-09,169,Present
583,2025-01-09,58,Present
584,2025-01-09,127,Present
585,2025-01-09,71,Present
586,2025-01-09,113,Absent
587,2025-01-09,54,Present
588,2025-01-09,131,Present
589,2025-01-09,133,Present
590,2025-01-09,125,Absent
591,2025-01-09,41,Present
592,2025-01-09,2,Present
593,2025-01-10,69,Present
594,2025-01-10,6,Present
595,2025-01-10,25,Present
596,2025-01-10,224,Present
597,2025-01-10,61,Present
598,2025-01-10,24,Present
599,2025-01-10,185,Present
600,2025-01-10,65,Present
601,2025-01-10,79,Present
602,2025-01-10,3,Present
603,2025-01-10,121,Present
604,2025-01-10,12,Present
605,2025-01-10,87,Present
606,2025-01-10,186,Present
607,2025-01-10,206,Late
608,2025-01-10,73,Absent
609,2025-01-10,208,Present
610,2025-01-10,90,Present
611,2025-01-10,138,Present
612,2025-01-10,110,Present
613,2025-01-10,171,Present
614,2025-01-10,149,Present
615,2025-01-10,71,Present
616,2025-01-10,216,Present
617,2025-01-10,144,Absent
618,2025-01-10,221,Absent
619,2025-01-10,155,Present
620,2025-01-10,2,Present
621,2025-01-10,55,Present
622,2025-01-10,199,Present
623,2025-01-10,223,Present
624,2025-01-10,47,Present
625,2025-01-10,88,Present
626,2025-01-10,103,Present
627,2025-01-10,42,Present
628,2025-01-10,131,Present
629,2025-01-10,229,Absent
630,2025-01-10,196,Late
631,2025-01-10,54,Present
632,2025-01-10,201,Present
633,2025-01-10,220,Present
634,2025-01-10,8,Present
635,2025-01-10,31,Absent
636,2025-01-10,157,Present
637,2025-01-10,68,Present
638,2025-01-10,84,Present
639,2025-01-10,118,Present
640,2025-01-10,230,Present
641,2025-01-10,66,Present
642,2025-01-10,93,Present
643,2025-01-10,29,Present
644,2025-01-10,51,Late
645,2025-01-10,203,Present
646,2025-01-10,159,Present
647,2025-01-10,26,Present
648,2025-01-10,70,Present
649,2025-01-10,114,Present
650,2025-01-10,80,Present
651,2025-01-10,116,Present
652,2025-01-10,57,Present
653,2025-01-10,136,Present
654,2025-01-10,119,Present
655,2025-01-10,174,Present
656,2025-01-10,139,Late
657,2025-01-10,96,Present
658,2025-01-10,78,Present
659,2025-01-10,179,Present
660,2025-01-10,135,Present
661,2025-01-10,77,Present
662,2025-01-10,76,Present
663,2025-01-10,140,Present
664,2025-01-10,46,Present
665,2025-01-10,226,Present
666,2025-01-10,189,Present
667,2025-01-10,113,Present
668,2025-01-10,198,Present
669,2025-01-10,104,Present
670,2025-01-10,191,Present
671,2025-01-10,215,Present
672,2025-01-10,49,Present
673,2025-01-10,92,Present
674,2025-01-10,39,Present
675,2025-01-10,100,Present
676,2025-01-10,56,Present
677,2025-01-10,30,Present
678,2025-01-10,62,Present
679,2025-01-10,126,Present
680,2025-01-10,21,Present
681,2025-01-10,127,Late
682,2025-01-10,60,Present
683,2025-01-10,18,Present
684,2025-01-10,95,Present
685,2025-01-10,97,Present
686,2025-01-10,213,Present
687,2025-01-10,36,Present
688,2025-01-10,4,Present
689,2025-01-10,28,Present
690,2025-01-10,167,Absent
691,2025-01-10,218,Present
692,2025-01-10,45,Present
693,2025-01-10,219,Present
694,2025-01-10,188,Present
695,2025-01-10,217,Present
696,2025-01-10,53,Present
697,2025-01-10,151,Late
698,2025-01-10,112,Present
699,2025-01-10,128,Present
700,2025-01-10,50,Present
701,2025-01-10,148,Present
702,2025-01-10,150,Present
703,2025-01-10,91,Present
704,2025-01-10,222,Absent
705,2025-01-10,205,Present
706,2025-01-10,170,Present
707,2025-01-10,195,Absent
708,2025-01-10,15,Late
709,2025-01-10,129,Present
710,2025-01-10,14,Present
711,2025-01-10,27,Present
712,2025-01-10,123,Late
713,2025-01-10,98,Present
714,2025-01-10,166,Present
715,2025-01-10,7,Present
716,2025-01-10,197,Late
717,2025-01-10,152,Present
718,2025-01-10,176,Present
719,2025-01-10,169,Present
720,2025-01-10,120,Present
721,2025-01-10,41,Present
722,2025-01-10,125,Present
723,2025-01-10,58,Present
724,2025-01-10,153,Present
725,2025-01-10,164,Absent
726,2025-01-10,165,Present
727,2025-01-10,5,Present
728,2025-01-10,154,Present
729,2025-01-10,52,Present
730,2025-01-10,111,Present
731,2025-01-10,204,Present
732,2025-01-10,35,Present
733,2025-01-10,156,Present
734,2025-01-10,172,Present
735,2025-01-10,209,Present
736,2025-01-10,83,Present
737,2025-01-10,137,Present
738,2025-01-10,178,Present
739,2025-01-10,228,Absent
740,2025-01-10,158,Present
741,2025-01-13,111,Present
742,2025-01-13,138,Present
743,2025-01-13,78,Absent
744,2025-01-13,90,Absent
745,2025-01-13,150,Present
746,2025-01-13,121,Present
747,2025-01-13,166,Present
748,2025-01-13,106,Present
749,2025-01-13,149,Present
750,2025-01-13,28,Present
751,2025-01-13,195,Present
752,2025-01-13,37,Present
753,2025-01-13,144,Present
754,2025-01-13,100,Present
755,2025-01-13,123,Present
756,2025-01-13,60,Present
757,2025-01-13,145,Present
758,2025-01-13,222,Present
759,2025-01-13,200,Present
760,2025-01-13,105,Present
761,2025-01-13,74,Present
762,2025-01-13,8,Present
763,2025-01-13,116,Present
764,2025-01-13,131,Present
765,2025-01-13,192,Present
766,2025-01-13,103,Present
767,2025-01-13,40,Present
768,2025-01-13,115,Present
769,2025-01-13,12,Present
770,2025-01-13,50,Present
771,2025-01-13,75,Present
772,2025-01-13,17,Present
773,2025-01-13,127,Present
774,2025-01-13,19,Present
775,2025-01-13,137,Present
776,2025-01-13,102,Present
777,2025-01-13,118,Present
778,2025-01-13,206,Present
779,2025-01-13,212,Present
780,2025-01-13,119,Present
781,2025-01-13,176,Present
782,2025-01-13,80,Present
783,2025-01-13,164,Present
784,2025-01-13,15,Present
785,2025-01-13,158,Present
786,2025-01-13,152,Present
787,2025-01-13,22,Present
788,2025-01-13,79,Present
789,2025-01-13,39,Absent
790,2025-01-13,24,Present
791,2025-01-13,21,Present
792,2025-01-13,161,Present
793,2025-01-13,91,Absent
794,2025-01-13,46,Present
795,2025-01-13,52,Present
796,2025-01-13,167,Late
797,2025-01-13,223,Present
798,2025-01-13,54,Absent
799,2025-01-13,110,Present
800,2025-01-13,199,Present
801,2025-01-13,125,Present
802,2025-01-13,229,Present
803,2025-01-13,171,Present
804,2025-01-13,45,Present
805,2025-01-13,197,Absent
806,2025-01-13,201,Present
807,2025-01-13,165,Present
808,2025-01-13,213,Present
809,2025-01-13,26,Present
810,2025-01-13,10,Present
811,2025-01-13,225,Present
812,2025-01-13,174,Present
813,2025-01-13,185,Present
814,2025-01-13,92,Present
815,2025-01-13,18,Late
816,2025-01-13,97,Absent
817,2025-01-13,220,Present
818,2025-01-13,38,Late
819,2025-01-13,34,Present
820,2025-01-13,63,Present
821,2025-01-13,53,Present
822,2025-01-13,89,Absent
823,2025-01-13,148,Late
824,2025-01-13,188,Present
825,2025-01-13,135,Present
826,2025-01-13,198,Present
827,2025-01-13,157,Present
828,2025-01-13,66,Present
829,2025-01-13,65,Present
830,2025-01-13,108,Present
831,2025-01-13,218,Present
832,2025-01-13,73,Present
833,2025-01-13,210,Present
834,2025-01-13,47,Present
835,2025-01-13,35,Present
836,2025-01-13,217,Absent
837,2025-01-13,230,Present
838,2025-01-13,76,Present
839,2025-01-13,189,Present
840,2025-01-13,11,Present
841,2025-01-13,120,Absent
842,2025-01-13,36,Present
843,2025-01-13,133,Present
844,2025-01-13,226,Absent
845,2025-01-13,179,Present
846,2025-01-13,4,Present
847,2025-01-13,51,Present
848,2025-01-13,96,Present
849,2025-01-13,204,Present
850,2025-01-13,224,Present
851,2025-01-13,104,Present
852,2025-01-13,5,Late
853,2025-01-13,72,Present
854,2025-01-13,124,Present
855,2025-01-13,70,Absent
856,2025-01-13,221,Present
857,2025-01-13,56,Present
858,2025-01-13,25,Present
859,2025-01-13,42,Present
860,2025-01-13,153,Present
861,2025-01-13,58,Present
862,2025-01-13,67,Present
863,2025-01-13,77,Present
864,2025-01-13,112,Present
865,2025-01-13,209,Present
866,2025-01-13,162,Present
867,2025-01-13,43,Present
868,2025-01-13,128,Present
869,2025-01-13,140,Present
870,2025-01-13,62,Present
871,2025-01-13,155,Late
872,2025-01-13,31,Present
873,2025-01-13,182,Present
874,2025-01-13,30,Present
875,2025-01-13,173,Present
876,2025-01-13,191,Present
877,2025-01-13,55,Present
878,2025-01-13,84,Present
879,2025-01-13,69,Present
880,2025-01-13,93,Present
881,2025-01-13,151,Present
882,2025-01-13,114,Absent
883,2025-01-13,49,Present
884,2025-01-13,98,Present
885,2025-01-13,1,Late
886,2025-01-13,6,Present
887,2025-01-13,71,Absent
888,2025-01-13,196,Present
889,2025-01-14,230,Present
890,2025-01-14,108,Present
891,2025-01-14,188,Present
892,2025-01-14,121,Present
893,2025-01-14,6,Present
894,2025-01-14,201,Present
895,2025-01-14,133,Absent
896,2025-01-14,127,Present
897,2025-01-14,100,Present
898,2025-01-14,29,Present
899,2025-01-14,19,Present
900,2025-01-14,7,Present
901,2025-01-14,125,Present
902,2025-01-14,55,Late
903,2025-01-14,199,Present
904,2025-01-14,52,Present
905,2025-01-14,191,Present
906,2025-01-14,74,Absent
907,2025-01-14,182,Present
908,2025-01-14,203,Present
909,2025-01-14,146,Present
910,2025-01-14,20,Present
911,2025-01-14,76,Present
912,2025-01-14,70,Present
913,2025-01-14,14,Present
914,2025-01-14,48,Present
915,2025-01-14,28,Present
916,2025-01-14,186,Present
917,2025-01-14,68,Absent
918,2025-01-14,113,Present
919,2025-01-14,22,Late
920,2025-01-14,205,Present
921,2025-01-14,80,Present
922,2025-01-14,104,Present
923,2025-01-14,38,Present
924,2025-01-14,211,Present
925,2025-01-14,63,Present
926,2025-01-14,79,Present
927,2025-01-14,150,Present
928,2025-01-14,200,Present
929,2025-01-14,60,Present
930,2025-01-14,18,Present
931,2025-01-14,131,Present
932,2025-01-14,25,Present
933,2025-01-14,102,Absent
934,2025-01-14,8,Present
935,2025-01-14,89,Present
936,2025-01-14,54,Present
937,2025-01-14,209,Present
938,2025-01-14,179,Present
939,2025-01-14,135,Present
940,2025-01-14,218,Absent
941,2025-01-14,156,Present
942,2025-01-14,198,Present
943,2025-01-14,42,Present
944,2025-01-14,4,Present
945,2025-01-14,157,Present
946,2025-01-14,106,Present
947,2025-01-14,95,Present
948,2025-01-14,164,Present
949,2025-01-14,136,Present
950,2025-01-14,62,Absent
951,2025-01-14,165,Late
952,2025-01-14,229,Present
953,2025-01-14,123,Present
954,2025-01-14,85,Present
955,2025-01-14,3,Late
956,2025-01-14,167,Present
957,2025-01-14,171,Present
958,2025-01-14,183,Present
959,2025-01-14,27,Present
960,2025-01-14,47,Present
961,2025-01-14,189,Present
962,2025-01-14,43,Present
963,2025-01-14,176,Present
964,2025-01-14,103,Present
965,2025-01-14,50,Present
966,2025-01-14,36,Present
967,2025-01-14,172,Present
968,2025-01-14,166,Present
969,2025-01-14,115,Present
970,2025-01-14,162,Present
971,2025-01-14,161,Absent
972,2025-01-14,24,Absent
973,2025-01-14,140,Present
974,2025-01-14,129,Present
975,2025-01-14,195,Present
976,2025-01-14,196,Present
977,2025-01-14,137,Present
978,2025-01-14,212,Present
979,2025-01-14,41,Present
980,2025-01-14,226,Present
981,2025-01-14,223,Present
982,2025-01-14,111,Late
983,2025-01-14,10,Present
984,2025-01-14,46,Present
985,2025-01-14,35,Present
986,2025-01-14,57,Present
987,2025-01-14,31,Present
988,2025-01-14,128,Present
989,2025-01-14,110,Present
990,2025-01-14,219,Present
